context,date_time
aaa#但斌：量化停了流动性会急剧萎缩#,06-26 10:58
今天有一条消息值得关注：公募基金，真的退薪了。目前，确有部分央企旗下公募基金实施,06-26 10:57
量化莫有一丁点儿的价值投资理念，瞬间爆量进出，投机取巧，严重扰乱市场的正常秩序。,06-26 10:53
#但斌：量化停了流动性会急剧萎缩#以前没有量化交易的不是也有万亿成交量吧。现在缩,06-26 10:55
量化是投机行为，股市一涨它就做空，有它在，股市只能牛短熊长，没人敢长期做多#但斌,06-26 10:55
今天能不能吃肉在于昨天的你有没有先手。明天的你能不能吃肉在于今天的你敢不敢追进。,06-25 10:38
【6.26复盘记录】：反弹如约而至，重点就抓这几点,06-26 10:54
明天还得跌,06-26 10:42
今天的A股，探底回升，让人惊呆了，你们知道是为什么吗？盘面上出现3个重要信号，一起来看看：,06-26 02:53
立刻取消量化#但斌：量化停了流动性会急剧萎缩#,06-26 10:51
量化交易将流动性资本全部收刮走了，股市才真正没有流动性，加上转融通无限筹码，有多,06-26 10:32
流动性有什么用呢？不知道强调流动性的人是怎么想的？三岁小孩思维。#但斌：量化停了,06-26 10:27
我跟大家泼冷水来了，别看今天红的多，但还是缩量的，拉了一直超跌的锂电和科技方向。,06-26 08:39
《不套不赚有哲理，大致合理即可行》,06-26 10:51
北向资金近七日大幅净买入立讯精密、新易盛、韦尔股份，净买入额分别为11.05亿元,06-26 10:50
取消量化和转融券与散户同等参与买卖才公平交易#但斌：量化停了流动性会急剧萎缩#,06-26 10:50
#A股探底回升，何时重返3000点？#上了三千又如何，韭菜就是被收割的命,06-26 10:50
只要股票能涨，不要说取消量化，就算是恢复电话委托我都愿意#但斌：量化停了流动性会,06-26 10:50
关闭量化，量化里面的资金自然出来投资股市，减少做空力量#但斌：量化停了流动性会急,06-26 10:50
没有放量只能视作超跌反弹，静观其变！,06-26 10:49
这是做空动能，量越大，破坏性越强！他们由于量的优势，有相对的定价权！敌人支持的，,06-26 10:40
量化是机构和顶级柚子的赚钱工具，但斌是他们的代言人#但斌：量化停了流动性会急剧萎,06-26 10:48
沉著气，最少保持2秒距离。,06-26 10:47
散户应该T+0.因为散户和机构根本就不在一个起跑线上#但斌：量化停了流动性会急剧,06-26 10:20
国家队午后进场，A股收复2950点！,06-26 01:23
现在大都不卖不就是长期投资了吗？不是倡导长期投资吗？有价值也好，有风险也好都不见,06-26 10:45
0626：今天只是试盘，行情仍没正式开始！,06-26 09:00
你们能想象一个曾经一年多翻过四五倍的男人短短不到一年彻底失控吗。,06-25 02:58
摩根说得对不对？为什么要这么说？那必然有依据啊！,06-26 10:44
#【有奖】展望未来，新材料将如何改变生活？#材料革新，看金发科技如何塑造未来生活蓝图,06-26 10:02
把转融通和量化去了，真正公平了，才会进来更多人参与，现在是越来越多的人不参与了。,06-26 10:44
2023年10月底，把上证和纳斯达克叠加一下对比就发现了流动性是什么时候开始莫名,06-26 10:43
英伟达大涨，上海贝岭为何暴跌？,06-26 12:10
记得以前没有量化日成交量达到过2万多亿！！！#但斌：量化停了流动性会急剧萎缩#,06-26 10:42
打个比方，一块蛋糕，有量化一秒钟就完了，没有量化可以吃十分钟，日积月累，你说量化,06-26 10:42
流动性萎缩不萎缩有什么用，主要是股票能涨才是硬道理。#但斌：量化停了流动性会急剧,06-26 10:41
以前没有量化，流动性也不差，只要股市上涨，就不怕没资金参与，但斌这是借流动性这个,06-26 10:15
但斌是量化即得利益者，当然不同意停止量化#但斌：量化停了流动性会急剧萎缩#,06-26 09:55
蒙了，收盘后自己真是蒙了,06-26 03:35
量化就是纯投机行为#但斌：量化停了流动性会急剧萎缩#,06-26 10:38
白泽实盘记录：20240625（第120天），今日盈利0.13万，总亏损18.9万，资金总取出8.3万,06-25 03:17
大家都知道的#A股探底回升，何时重返3000点？#,06-26 10:37
终止#但斌：量化停了流动性会急剧萎缩#,06-26 10:37
兑现二次逼空拉升了哈！舒服了最好收光头阳线就安逸了！要逼空就逼到底！,06-26 02:36
别有用心，居心不良#但斌：量化停了流动性会急剧萎缩#,06-26 10:36
等待放量，没量根本不会买，转融券大量进入的票不买,06-26 10:36
明天能见#A股探底回升，何时重返3000点？#,06-26 10:35
量化是投资行为，不看公司的实际，只短期投机套利的手段#但斌：量化停了流动性会急剧,06-26 10:35
#但斌：量化停了流动性会急剧萎缩#说白了量化停了所有券商都停摆了,06-26 10:35
还在博反弹，还在炒!!连续跌停就是你们这帮赌徒的下场!!!!,06-26 10:34
$上证指数(SH000001)$,06-26 10:33
6月26日全面复盘,06-26 09:25
沙特主权基金PIF向三一集团购买18.7亿美元电动卡车,06-26 10:11
量化说白了不过是让追涨杀跌更厉害了而已，这样的流动性大可以不要。#但斌：量化停了,06-26 10:30
量化对提供流动性有个毛用，不就是低买高卖割韭菜吗？#但斌：量化停了流动性会急剧萎,06-26 10:30
以前没量化的时候不也好好的？这会儿了没量化就不行了？量化出来的成交量就是虚假的成,06-26 10:29
#但斌：量化停了流动性会急剧萎缩#呵呵，拉起来到4000点不就有量了，大,06-26 10:15
量化不重要重要的是两融#但斌：量化停了流动性会急剧萎缩#,06-26 10:27
全线上涨！止跌企稳了？,06-26 07:41
还是要跌，跌到2600,06-26 10:27
你是量化？#但斌：量化停了流动性会急剧萎缩#,06-26 10:16
融券已经否定了对股票价值的公平判断以及公平对待，当卖出股票能获利的时候。这个公司,06-26 10:25
必须停。人和机器干，根本玩不过。崇尚价值投资，做长线。短期影响不好说。长期一定是,06-26 09:56
那也是短期影响，这些资金不可能彻底退出#但斌：量化停了流动性会急剧萎缩#,06-26 10:23
胡锡进炒股一周年记，老胡从最初的新手到满仓70万，亏损7.75万,06-26 08:01
还是喜欢这样的大盘，有活力，给大家带来好心情！,06-26 10:23
6.26(周三)大盘收评和明日大盘走势预测,06-26 10:23
上证ETF交易记录~6/26,06-26 04:18
散户是拿烧火棍上战场#但斌：量化停了流动性会急剧萎缩#,06-26 10:22
新材料的不断更新与拓展，推动新质生产力逐步提升，未来科技正全面开花！,06-26 09:13
量化没错，但是同时要给予散户同等的工具，以及类似t0#但斌：量化停了流动性会急剧,06-26 10:20
大家注意，大盘创新低。不要加仓，等待大盘杀跌。主力机构全面出货。,06-26 10:19
周初的观点不变，这礼拜周k线收红。,06-26 10:18
A股：今天你中招了吗？一个重要信号！明天6.25这么走，直奔主题！,06-24 07:36
没有流动性，那就长期持股嘛，响应国家号召不要急功近利，做长期投资#但斌：量化停了,06-26 10:17
月底了明天应该是最后一跌，七月初应该有个反弹,06-26 10:07
散户是拿烧火棍上战场#但斌：量化停了流动性会急剧萎缩#,06-26 10:22
新材料的不断更新与拓展，推动新质生产力逐步提升，未来科技正全面开花！,06-26 09:13
量化没错，但是同时要给予散户同等的工具，以及类似t0#但斌：量化停了流动性会急剧,06-26 10:20
大家注意，大盘创新低。不要加仓，等待大盘杀跌。主力机构全面出货。,06-26 10:19
周初的观点不变，这礼拜周k线收红。,06-26 10:18
A股：今天你中招了吗？一个重要信号！明天6.25这么走，直奔主题！,06-24 07:36
没有流动性，那就长期持股嘛，响应国家号召不要急功近利，做长期投资#但斌：量化停了,06-26 10:17
月底了明天应该是最后一跌，七月初应该有个反弹,06-26 10:07
无量上涨只是超跌反弹而已，明天高开低走，明天怎么操作不用多说了！,06-26 10:16
关注亚盛的兄弟们，只需要知道这几个关键词就行了:1.亚盛集团鱼儿红牧场塔尔沟钨矿,06-26 10:14
但斌会不会是王亚伟第二呢#但斌：量化停了流动性会急剧萎缩#,06-26 10:06
看反弹高度吧，我觉得2900守不住,06-26 10:13
每天盘前都是利好，盘中都是韭菜[韭菜],06-26 10:13
量化这种流动性，当天就买入卖出，虚伪流动性，宁可不要！量化的不公平导致信心缺失，,06-26 10:13
明天大盘如果有拉高赶紧跑，汇率又跌了,06-26 10:09
高手可以把量化装进大脑里，但要算准提前下单，但要有一定时间训练才能熟练掌握#但斌,06-26 10:12
量化存在必有它的理由，存在即合理#但斌：量化停了流动性会急剧萎缩#,06-26 09:19
减了它它它，又增加一个套利机会,06-26 10:09
但斌很可能有参与量化交易#但斌：量化停了流动性会急剧萎缩#,06-26 10:09
机构量化高频交易，用建好的模型复制人工智能操作，比人交易理性反映很快，能秒买秒抛,06-26 10:09
底部未探明前，上不了3000点。#A股探底回升，何时重返3000点？#,06-26 10:09
#但斌：量化停了流动性会急剧萎缩#那不是更好了，没有流动了，全部变长线了，股价越,06-26 10:09
A股：明天大盘还能继续反弹吗？给大家提个醒,06-26 08:22
量化对其它的交易者来说是一种不公平的存在。#但斌：量化停了流动性会急剧萎缩#,06-26 10:07
抵押房子，贷款融资加杠杆抄底，财富自由机会来了[色][色][色][色],06-24 01:08
假增持，就是通报批评一下了之，没有成本。,06-26 10:06
打开跌幅榜一看，两只跌停，居然都在我手上，我也成了反向指标了。。。。。。,06-26 10:06
5.21号上证局部见顶后，截止本周二三，中期调整大概率结束了，五浪调整结束。本周,06-24 11:29
反正我不玩了！#但斌：量化停了流动性会急剧萎缩#,06-26 10:05
缩量企稳，带来什么信号？六月交易就要结束。七月满意行情。,06-26 10:05
