context,date_time
抄底了,06-24 10:51
今天销户的有多少?这的市场,06-24 10:51
准备干活了！还差5个点！[大笑][大笑][大笑],06-24 10:50
慌什么，这才哪儿到哪儿,06-24 10:50
【大事前瞻】本周全球市场大事不断！国内方面，十四届全国人大常委会第十次会议将于6,06-24 10:50
$上证指数(SH000001)$,06-24 10:50
跑,06-24 10:50
大盘可能砸到2950左右,06-24 10:08
跌吧！为什么？,06-24 10:50
估计要去补下方的缺口,06-24 10:50
人心涣散，想卖房子买股的人，房子也卖不出去。,06-24 10:50
好的公司，银行拼命想借钱，不存在什么差钱，上市目的就是为了多赚点钱。差的公司上市,06-24 10:50
股市就不应该在2500以上,06-24 10:50
利好融券做空！2400可期！#IPO受理、上会全部恢复，如何解读？#,06-24 10:50
[坏笑][坏笑][坏笑]你们还不抄底吗,06-24 10:50
赚到钱个锤子哦哈哈哈,06-24 10:50
不错不错，优秀[胜利][偷笑][偷笑],06-24 10:50
2600点不改,06-24 10:50
要打2900点保卫战？,06-24 10:50
银行、保险拉起来了！,06-24 10:50
漂亮，上周五全仓买入，就被埋了,06-24 10:50
刚才买了二十万元的,06-24 10:50
快去请如来佛祖！,06-24 10:50
又回来了！#IPO受理、上会全部恢复，如何解读？#,06-24 10:50
又是一个股民悲伤的日子！,06-24 10:50
现在好了，都成稳定资金了,06-24 10:50
韮菜没了,06-24 10:50
看不到希望，增量资金再不来就晚了！股市不起，楼市不会复苏！,06-24 10:50
来一轮牛市都回不了本了！！！！,06-24 10:50
跌的一塌糊涂，,06-24 10:50
这黎明前的黑暗，终究不会长久的！,06-24 10:50
此曲只应天上有，人间能得几回闻,06-24 10:49
以悟道,06-24 10:49
大牛市来了，先前叫你们满仓，现在叫你们清仓！灰常正确呀！,06-24 10:49
确实牛市,06-24 10:49
我要抄底,06-24 10:49
不是股票不行，是整个大盘都废,06-24 10:49
吗的我太兴奋了，今天进半仓。,06-24 10:49
该反弹了,06-24 10:49
仅5000家待涨。不慌不慌[吃瓜][吃瓜],06-24 10:49
5仟只下跌#IPO受理、上会全部恢复，如何解读？#,06-24 10:49
